,user_name,user_location,user_description,user_verified,date,text,hashtags,source
51,Thuggizzle®,"San Antonio, TX",Thuggizzle is an American Rapper from Texas founder and owner at Thuggizzle LLC. Owner of Thuggizzle Water. Music Available On All Platforms. Subscribe ⛰💧🧊🌍♻,False,2022-03-15 11:18:38,Thuggizzle Appalachian Mountain Spring Water Reviews #thuggizzle #thuggizzlewater #thuggizzlecares #eco #water #aluminum #springwater #appalachianmountains #recycle #texas #tx #drinkwater #sustainable #mountain #aluminumrecycling #plasticwaste #satx #sanantonio #sanantoniotx https://t.co/8EEfikzO8r,"['thuggizzle', 'thuggizzlewater', 'thuggizzlecares', 'eco', 'water']",Twitter for Android
52,Nursery Loretto RC Primary,,We are a school nursery based in Musselburgh,False,2022-03-15 11:18:38,Some more photos from gym today. https://t.co/0m5ezFwC6Y,,Twitter Web App
53,kinna,"Taguig City, National Capital ",Isaiah 60:22 | #faitience since 20' | #CutieBabers ft. #HottieBabers #jihantesti #cutetesty #MissyAngels,False,2022-03-15 11:18:38,@GlazeCrypto manifesting ate g wins &lt;3,,Twitter Web App
54,Maya,,random shitz for random times,False,2022-03-15 11:18:38,Sneakylink and fwb is the same thing kan? Lebih kurang ah kut,,Twitter for iPhone
55,Miguerrasanchez,"Atlanta, GA",,False,2022-03-15 11:18:38,"We gucci on this??

Cuzzzzz?? We need more oil to kill us faster we need to play ball with murderers and bone saw people  https://t.co/n30fL7RGFr",,Twitter for iPhone
56,𝙕𝙔𝙋𝙃𝙀𝙍 ,www.paypal.me/zypher99,"22 | 3,900+ lovely subscribers | YouTube Content creator | Mobile/PC Self-taught Graphic designer
🇨🇦",False,2022-03-15 11:18:38,"@ImOwFromYT 1. I dislike the the cod feel it gives.
2. Needs to be removed as it disrupts the simplicity of the game.
3. Not something apex should have.",,Twitter for Android
57,🥃lalla_lilli,Philippines,I 💗 #LISA SO SO MUCH || LILIE,False,2022-03-15 11:18:37,"a reminder to not spam the tag

LISA IN ETERNAL CITY
#LalisaRomana",['LalisaRomana'],Twitter Web App
58,clover,,"☘️ clover haos quotes, posts every half hour",False,2022-03-15 11:18:37,"Hey guys! Let’s not fight, okay?",,"Cheap Bots, Done Quick!"
59,4S,,Digital community for the degens.,False,2022-03-15 11:18:37,"Hey guys! Let’s not fight, okay?",,Twitter for iPhone
60,Vivek Sakpal,Nomad,"Atheist, Minimalist, Pro People, Democratic, Liberal, Pro Freedom. Vasudhaiva Kutumbakam",False,2022-03-15 11:18:37,"I would watch #KashmirFilesMovie if it was about displacement of people. Many Indian's are displaced due to communal riots, dams, forest (development), education, employment...but a movie crying over displacement of one dominant community doesn't need government endorsement.",['KashmirFilesMovie'],Twitter for Android
61,Nᴏᴛ Fᴏᴜɴᴅ ⚠️,Home 🏠,"I am Only Enemy Of #ThalapathyVijay Haters
@actorvijay - @iamharishkalyan",False,2022-03-15 11:18:37,@0sitaiheme Sarkar um Sunpictures Thaan da Venna.....,,Twitter for Android
62,Володимир Дзюба,Україна,все добре,False,2022-03-15 11:18:37,@antonioguterres @UNESCO @UN Bloody Russian aggression continues. The world must combine efforts against Russian missiles and tanks bombing kindergartens and hospitals in Ukraine. Save our lives by closing the sky over Ukraine! #StopWar #Banrussia #StoprussianAggression,,Twitter Web App
63,"Skyblaze, Crystal Benefactor","Yorkshire, UK",Goth/Geek hybrid. Freelance Gaming/VR/AR Journalist. RadioSEGA DJ and Co-host on Pop Politics Podcast. Pronouns: They/Them - shatterlight21@gmail.com,False,2022-03-15 11:18:37,@ProfNoelFitz Beautiful. both thecat and the engineering. :),,TweetDeck
64,24/7 sports cards,,My program tweets card sales 24/7! Scroll the feed,False,2022-03-15 11:18:37,Champ Bailey 2021 Panini Immaculate #thehobby https://t.co/3ZnpIRkIXE,['thehobby'],247cards
65,ameer altaee 11,,"A Bayern fan and Bayern junior teams
My old account has been suspended by the Twitter administration

A fan of the German national team",False,2022-03-15 11:18:37,"In Germany they point out that Bayern Munich could go after Dest if Barça ends up signing Mazraoui , Bayern Munich may offer €20 million for Dest

@mundodeportivo https://t.co/jqkSM66625",,Twitter for Android
66,Disha Verma,,,False,2022-03-15 11:18:37,"Militants are brainwashing young boys in Kashmir to throw grenades at busy public places in Kashmir,as their Nexus is failing to carry out big strikes on security forces. https://t.co/LoYVyHT4dL",,Twitter for Android
67,Jelene,,Bini and Bgyo✨,False,2022-03-15 11:18:37,"Hi blooms , be careful po sa tweets natin ok p b",,Twitter for Android
68,Blue Heeler Guy,"Georgia, USA","Ready to listen, liberal or conservative.
Ready to change my mind, not with garbage arguments.
#God invented #Science
#FBR
#Vaccinated
#WearAMask

Very Married",False,2022-03-15 11:18:37,"@RepMTG @CDCgov @RepThomasMassie Masks on planes? The world is at the brink of a world war &amp; you're loosing it over masks a planes?
Really?

Maybe you were distracted and didn't notice the resurgence of #COVID in #Australia #NewZealand, #China etc? You know it's not over, or were you ""allowed to believe"" it was?",,Twitter for Android
69,caiø,Brazil,Buy High Sell Low 🚀 | Music Producer | Videomaker | Discord: Caiø#3978,False,2022-03-15 11:18:37,@austriandentist @MotionMarkus @InvsbleFriends @RNDMCHARACTERS @irag_art Hahaha very cute! They look like my kittens. This is Bills and he helped me create the theme song for the project! I sent you the improved version! hope you have a nice day 🙏 https://t.co/b14KKM4VtO,,Twitter for Mac
70,agi muliadi,,,False,2022-03-15 11:18:37,"@TirtoID uthred son of uhtred,lord of bebbanburg",,Twitter for Android
71,avo.,,also @sunkisdior.,False,2022-03-15 11:18:37,"Please DO NOT STOP informing and hyping the tl up about Jay's birthday votings, we only have few voting polls left yet Jay's ranks are NOT LEADING AND NOT SAFE. Among all the votings, there's no sure win for him. He deserves more, engenes, let's give him our best! /c",,Twitter for Android
72,The Photografreak.,x ,"Y.P Ibrahim 
Your favorite mobile photographer 📸 
Ambivert 😏 BMW ❤️
IG@ https://t.co/DYUaZQjQfA
You don't follow me back i unfollow yo a**",False,2022-03-15 11:18:37,@DoctaDoMore @Xclinton_OBE @Maximielian_ ifb immediately,,Twitter for Android
73,Jaei Son,,반갑습니다.,False,2022-03-15 11:18:37,"@storyteller_nft 0x89784a49ddc00C201D442608338132677a1cECb3

I really want to have it Give me the NFT.",,Twitter for Android
74,Mys 🌹,,snow’s #1 fan (don’t associate me with Edens Zero),False,2022-03-15 11:18:37,@sanjis_cig gimme a letter that ain’t g i did that alr,,Twitter for iPhone
75,Grateful_Mets,,"Refusing to do the wave since 1980. 
One COVID vaccine shot shy of the cycle. 
#BeKind",False,2022-03-15 11:18:37,@MarkDuaneMorton Sounds like drunk cooking for your friends. Show.,,Twitter for Android
76,Jenny Pickles,"Melbourne, Victoria",Fed up with misinformation and trolls. On a mission to search out and share the truth. Ornery at times and won’t cop any shit! And proud to be 💉💉💉,False,2022-03-15 11:18:37,@milly_c14 @georgiecrozier Back at you … “Mr Andrews said he could not discuss compensation clauses without further information from the Government about what was included in the deal.”🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,,Twitter for iPad
77,Steevy🇨🇲,,,False,2022-03-15 11:18:37,"I will trade my life for yours, behind closed doors",,Twitter for iPhone
78,Ape Face,yo momma,In bro I trust.,False,2022-03-15 11:18:37,"@Roy_Jenkins_ Move aside North Korea, we got prettier propagandists. We'll show you how it's done. https://t.co/I51DC5yIFe",,Twitter for Android
79,GhostyPep,ingerland,"NFT and NSFW account PLEASE go away

minor !! i am a minor!!! four plus ten!! 

GhostyPep#1984

https://t.co/a4HyRFlt8F",False,2022-03-15 11:18:37,you shoudl commission them,,Twitter Web App
80,Mavino Friday,,#SillyGeneration,False,2022-03-15 11:18:37,"@TheAjibolaGrey @Remmzor__ Selina tested 
sibi is dead
please subscribe for more
https://t.co/B4q3na13Rs",,Twitter Web App
81,The-sssnake50,,Follow my onlyfans: @thesnake23,False,2022-03-15 11:18:37,"Trying to get ready for the summer, had to crop the pic. Looks like I missed a spot but oh well 🤷‍♂️ #summer #abs https://t.co/loIdMTHdgM","['summer', 'abs']",Twitter for iPad
82,"Essay Help, Term Papers, Research Papers,",New york City USA,"#Essays, #TermPapers, #ResearchPapers, #Thesis, #Coursework, #Dissertation, #ReactionPaper, #PowerpointPresentations, #Projects, #MathProblems, #BookReview",False,2022-03-15 11:18:37,Read this Article https://t.co/IgRMXHOQ3W,,WordPress.com
83,jungkooks left nipple,United Kingdom,she/her🇬🇧 20,False,2022-03-15 11:18:37,"BTS members as WALL-E 
A much needed thread: https://t.co/WYRZdzZ5oM",,Twitter for iPhone
84,👺DG⚽ #TerStegenACL,"Siliguri, India","We Stan Messi and Pedri here

priv- @fffffs007",False,2022-03-15 11:18:37,"Everyone vote NO. Remember vote "" NO """,,Twitter for Android
85,Bible Reading Man,,Proverbs 28:4 They that forsake the ⚖law📖 praise the🌈wicked🏴‍☠️: but ✝️such as 🤝keep the ⚖law📖 🛡contend⚔ with 🌈them🏴‍☠️.,False,2022-03-15 11:18:37,"@RSBNetwork FAKE NEWS🐉 &amp; THE DEEP STATE🏴‍☠️
Isaiah 59:14
And judgment is turned away backward, and justice standeth afar off: for truth is fallen in the street, and equity cannot enter.",,Twitter for Android
86,Zee ._.,,"SMALL content creator
Gacha club au maker",False,2022-03-15 11:18:37,"Wordle 269 4/6

⬛⬛🟩🟩🟨
🟩🟩🟩🟨⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩",,Twitter for Android
87,cibarius,Hidden,"|:| creativity is human being |:| FND https://t.co/fXtVXNyt0g |:| HEN https://t.co/yh3ejpGJis

https://t.co/4MUfynTvN3",False,2022-03-15 11:18:37,@TDCartOfficial How is going there????,,Twitter for iPhone
88,Mimi J. 🇨🇦💜,"Toronto, Ontario",BSB Fan• 04-20-93• #BSB28Years • 8 concerts • #DNAWorldTour2022 | #ATINY + ATEEZ = 1 Team•Bias: #Mingi & #San | BTS • OT7 💜#BTSARMY •Ult:#RM💗• Bias:#Jungkook,False,2022-03-15 11:18:37,"WORDLE-BTS 220315 2/6

⬛️🟨⬛️⬛️⬛️
🟪🟪🟪🟪🟪

https://t.co/YGLtG8xFo3

 #BTSWORDLE",['BTSWORDLE'],Twitter for iPhone
89,King Abdulmuqsit 🦇🥀,,Graphic Designer | Football Analyst | Content Creator | Certified Raver 🦇 | Songwriter 🎙 | Genio Creativo 🇮🇹 | #StreamPartyGyal 💃🏽| @ChelseaFc | #COYB |,False,2022-03-15 11:18:37,KWASU giving us car gate passes to enter exam hall 😂 https://t.co/H76xNVniSC,,Twitter for iPhone
90,Kiranspeaks,,,False,2022-03-15 11:18:37,"@Sydusm More false stories, more terror, hate",,Twitter for iPhone
91,Eddy,,NFT 🍭❤,False,2022-03-15 11:18:37,@RiotSupport Pathetic servers. Cause of your servers I couldn't play my game just lost this game for 0 reasons. and not even a loss prevented -.-,,Twitter Web App
92,Tan⁸ 🌻☀️ free tag,,"El kecil 👆
Mabok Jaechan mabok seoham 😭😭😭😭
pengen BIGWIN",False,2022-03-15 11:18:37,Wanna sleep next to you,,Twitter for Android
93,Tutellover Baker 🇺🇦,"Saarland, Deutschland",CONTENT wird bei mir groß geschrieben 🐸 // https://t.co/oUvs10j4wc // Streamer for @Team300O // Erzieher //#G2WIN,False,2022-03-15 11:18:37,@SaddersaLuna Are you not d1? Like I know ppl call master trash elo but d1 is anything but low elo tbh,,Twitter for iPhone
94,Ashar Ahsan,"Islamabad, Pakistan","""First they ignore you, then they laugh at you, then they fight you, then you win."" 

PCT. Federer.",False,2022-03-15 11:18:37,"@msarosh Good. Just hope Pakistan manages to save this, imagine the scenes then",,Twitter for iPhone
95,RedDwarf 🔶 🇬🇧🇪🇺🇺🇦🇩🇪 #RTTG #RejoinEU,UKSSR,"Pagan ⛤ #FBPE. Слава Україні!

Metal Detectorist, Angler and 3D Printing enthusiast. Lived in Germany, then married a beautiful Ukrainian. My views are mine!!!",False,2022-03-15 11:18:37,"⚡️The Primate of the Orthodox Church of Ukraine, Metropolitan Epifaniy, said on the air of the telethon that killing Russian soldiers is not a sin.

“Our soldiers protect all Ukrainians. Protecting, killing the enemy is not a sin. We protect, we do not seek someone else's """,,Twitter for Android
96,jenna³³ 💙💛 esteban era,"she !¡ her, seventeen",MV33 ♡ to whom it may concern,False,2022-03-15 11:18:37,underrated friendship. https://t.co/3sfngjee0L,,Twitter for iPhone
97,OvO_JumPShoT,5th Dimension,,False,2022-03-15 11:18:37,"@WcWaifu @nath7282 @SHINRAMEN_eth @veezyvangogh @NFTkwi @ROXY_M_7874 @BankaiSauce @Ehawkjj24 @harsh_waaa @NAUX_0029 Dreams Champagne can buy 🍾

NINI-NANI CHAMPAGNE 🥂 Made from the best of the sewers 🐀 for the best of the slums 🍾

Ingredient list:
Tar filled sewer drainage water
3% THICC 🐀 MELK

Only one NINI-PASS for one exquisite bottle of NINI-NANI CHAMPAGNE 🥂",,Twitter for iPhone
98,∆ Jeje ∆ || L:IOC 🗽,,"She/ Her ✌
#CRAVITY
@CRAVITY_twt
LIBERTY IN OUR COSMOS
|| selective ||",False,2022-03-15 11:18:37,# FOR GROUP PHOTO COSMOS VER,,Twitter for Android
99,thedcarea🥀,"North Carolina, USA",| #WSSU 🐏 | Job 12:12📖 | #llp🕊,False,2022-03-15 11:18:37,I’ll say ion care then start acting like Kanye😭😭🤦🏽‍♂️,,Twitter for iPhone
100,assivasElse is mild @mild,,,False,2022-03-15 11:18:37,"@JonathanGwood Hey Jonathan :) 

Snap I haven't either.",,Twitter Web App
101,Busty,,,False,2022-03-15 11:18:37,"@Franaciapa @Iamfafa4 @Sarahdata10 @chrisshipitv @InvictusGamesNL Is English your first language? Do you struggle with comprehension? It wasn’t advanced to the home office not it was never made, clearly they know Harry made the offer  the RF representative who sits at the RAvec did not pass that information to home office.",,Twitter for iPhone
102,Robin 🐊,"Bracknell, England","Small streamer
 https://t.co/HoKz1JVlp8
Gamer(Derogatory) | Artist / Computer Aided Designer and Digital sculptor  |  23  |  He/Him | 3d printer guy",False,2022-03-15 11:18:37,"Gunna hop on #Valorant for the first time on stream later! 
....also I haven't played a competitive shooter since 2017 so get ready for the best plays you've ever seen! 😅
https://t.co/BLtVUjNmU1",['Valorant'],Twitter for Android
103,:),,,False,2022-03-15 11:18:37,@amorarv oh you're making irap to me nanaman,,Twitter for Android
104,mayron_(ziak fan account),Bite,@ZiakimboCC/ un jours les 1000-follow pls,False,2022-03-15 11:18:37,@exostesvoeux @encorerodrigo Awe le long cou que t’a toi,,Twitter for iPhone
105,bibicat,моло/пиз/дец,,False,2022-03-15 11:18:37,@mrhorsdusujet @v_j_freeman Jill Stein is 100% pro-Putin,,Twitter Web App
106,Baby Jenny 👾,,Future DG..anime.. chocolates.. basketball..COD..doings. old account @02franx ..,False,2022-03-15 11:18:37,@Shortest__Ahmed Just call my name 😂😂,,Twitter for iPhone
107,Kimberly,"New Hampshire, USA","SoCal girl in NH 😊 🌊Photographer,lover of animals, music & nature.All images subject to copyright. I HATE tRump! No DMs! #RESIST #BidenHarris #JusticeisComing",False,2022-03-15 11:18:37,@small1ldy1 @Meghanduggan1 @Isabelales2 @kurtmac @NoraNanza @freeWorld2 @HLStockenstrom @AhearnColeen @MarkoSilberhand @portland_brad @mrsbiffo01 @jennifersterri1 @Andy_Lea1964 @sorayaRESIST @repsiw5 @LRJ023 @CDFleming5 @ArtKetterhagen1 @BrooksChloe732 @beth_monje @es_edwards @Numbers28 @skipz @news_houndnc @AuroraBlogspot @BBockelbrink @Infinty1001 @kath_mcc @MacleanJoyce @mac_gardiner12 @D_Ericson @chefjoelb @hassib_haidar @OctoberFerguson @MsSusanMo @rfrdrch @Dimensionspect1 @benbrookjohn @NATO Great advice. ❤️ Take care of yourself. This is a draining time for you. He will need your strength now. ❤️,,Twitter for iPhone
